question,option1,option2,option3,option4,option5,answer
"Compiled MCQs from Ethical Hacking Assignments (Week 1 to Week 7)

Week 1
Q1. In which of the following penetration testing models, no information about the network is given to the tester?",White box model,Black box model,Gray box model,Red box model,,Black box model
Which of the following statement(s) is/are true for a circuit switched network?,A communication link may be shared by more than connection.,A communication link is dedicated to a connection and cannot be shared with other connections.,The packet transfer delay between a pair of nodes may depend on the prevailing network traffic.,It is more efficient for bursty traffic.,,A communication link is dedicated to a connection and cannot be shared with other connections.
Which of the following statement(s) is/are false for virtual circuit based packet transfer approach?,"It is a connection-oriented approach, where a route is established priori to transfer of packets.",The intermediate node can perform dynamic routing.,All the packets reach in order to the destination.,It is a true packet switched network.,,The intermediate node can perform dynamic routing.; It is a true packet switched network.
Which of the following OSI layers is responsible for end-to-end reliable data transfer?,Physical layer,Transport layer,Network layer,Datalink layer,,Transport layer
Which of the following statement(s) is/are true for the IP address?,It uniquely identifies a network interface of a computer system.,It uniquely identifies a host in the network.,It indicates how many hardware ports are there in the computer system.,None of these.,,It uniquely identifies a host in the network.
How many bits are used for IP address (in IPv4) and port number respectively?,"32, 8","32, 16","128, 8","128, 16",,"32, 16"
Which of the following is not a valid port number in TCP/IP?,21,80,443,8080,80800,80800
Which of the following statement(s) is/are true for transparent fragmentation?,The subsequent networks are aware that the fragmentation has occurred.,It is required to route all packet to the same exit router in a network.,Each fragment is treated as an independent packet.,All fragmented packets are reassembled by host system.,All fragmented packets are reassembled by the exit router.,It is required to route all packet to the same exit router in a network.; All fragmented packets are reassembled by the exit router.
"For reassembling the fragmented packets at the final destination, which header field(s) is(are) used by IP?",Fragment offset,Flags,Header checksum,HLEN,Identification,Fragment offset; Flags; Identification
An IP packet arrives at the final destination with the D flag set as 1. What is true?,The packet has not been fragmented.,The packet has been fragmented and it is the first fragment.,The packet has been fragmented and it is the last fragment.,None of these.,,The packet has not been fragmented.
Which of the following statement(s) is/are false for IP addressing?,Each host connected to the Internet is defined by an IP address.,IP address consist of two parts: network number and host number.,"When a packet is routed to the destination network, only the network number is used.",None of these.,,None of these.
Which address classes do the IP addresses 10.16.75.12 and 192.10.85.120 belong to?,Class A and Class B,Class B and Class C,Class C and Class D,Class A and Class C,,Class A and Class C
Which of the following IP addresses does not represent broadcast address?,10.0.0.255,10.255.255.255,144.16.255.255,173.16.0.255,192.168.5.255,10.0.0.255; 173.16.0.255
Which of the following statement(s) is/are false for flag bits in TCP header?,SYN=1 and ACK=0 represents a connection request message.,SYN=1 and ACK=1 represents a connection confirmation message.,RST bit is used to reset/reject connection request.,None of these.,,None of these.
